schema_version	receipt_id	source_id	source_commit	source_tree	operation	command_sha256	acquisition_script_sha256	normalization_version	toolchain	mathlib_revision	observed_at_utc	exit_code	result	log_path	log_bytes	log_sha256
crouzeix-verification-receipt/v1	JIN-565B6A3-BUILD	JIN-V4-AUDITED	565b6a3e0659b6e0785f783b016c3f6d9f171fa5	40aafa503bd32762dbf6d1a67ddef3e2b067f0e1	lean-build	f0d07ab3d72145f163ca08bf2dd202abfeb40582e4ab6d7db2f799b1dfc32de4	0792d48fa4c80d151f4b1a9e4f4c9f5f823361f6a476653bba1c28a765c7c94f	crouzeix-log-normalization/v1	leanprover/lean4:v4.28.0	8f9d9cff6bd728b17a24e163c9402775d9e6a365	2026-08-14T23:44:51Z	-	blocked	verification/jin-565b6a3-build.log	184	ca237cb89ba79767dae2e1a06ca3c0c5a0c6af3ddf13d4f1dae347d0e3cff1d7
crouzeix-verification-receipt/v1	JIN-565B6A3-SCAN	JIN-V4-AUDITED	565b6a3e0659b6e0785f783b016c3f6d9f171fa5	40aafa503bd32762dbf6d1a67ddef3e2b067f0e1	source-scan	e3f02df5d795e7ae59e9e2a5e23423c83d0f640f67ab4d4d8d30761c1f36155e	0792d48fa4c80d151f4b1a9e4f4c9f5f823361f6a476653bba1c28a765c7c94f	crouzeix-log-normalization/v1	leanprover/lean4:v4.28.0	8f9d9cff6bd728b17a24e163c9402775d9e6a365	2026-08-14T23:44:51Z	0	passed	verification/jin-565b6a3-scan.log	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
crouzeix-verification-receipt/v1	JIN-9DF0783-BUILD	JIN-REPO-HEAD	9df07838327b988e3924453daa29c8cd726d34b0	ff9ff787a91707ddf747d2c670bf9e729e1c0cab	lean-build	f0d07ab3d72145f163ca08bf2dd202abfeb40582e4ab6d7db2f799b1dfc32de4	0792d48fa4c80d151f4b1a9e4f4c9f5f823361f6a476653bba1c28a765c7c94f	crouzeix-log-normalization/v1	leanprover/lean4:v4.28.0	8f9d9cff6bd728b17a24e163c9402775d9e6a365	2026-08-14T23:44:51Z	-	blocked	verification/jin-9df0783-build.log	184	43a6a928fd9d1ffabb6b8dceb0ec4bd76459f8460f68ce604cd6c124158326c3
crouzeix-verification-receipt/v1	JIN-9DF0783-SCAN	JIN-REPO-HEAD	9df07838327b988e3924453daa29c8cd726d34b0	ff9ff787a91707ddf747d2c670bf9e729e1c0cab	source-scan	e3f02df5d795e7ae59e9e2a5e23423c83d0f640f67ab4d4d8d30761c1f36155e	0792d48fa4c80d151f4b1a9e4f4c9f5f823361f6a476653bba1c28a765c7c94f	crouzeix-log-normalization/v1	leanprover/lean4:v4.28.0	8f9d9cff6bd728b17a24e163c9402775d9e6a365	2026-08-14T23:44:51Z	0	passed	verification/jin-9df0783-scan.log	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
