document_path	source_id	declared_revision	document_sha256	artifact_role
knowledge/rsi/pi_harness_deep_dive.md	PI-MONO	4488ad55c18f07ae89a489096c90de8667b3adfb	513251acebaf7e7480937c16133e7f272b452b19d3869e451164445295e17b94	explanatory-supplement
knowledge/rsi/hermes_harness_deep_dive.md	HERMES-AGENT	e444d165807f489b5c1ab8e4a612c8d09c2e67a2	fb52cebcbb56bf24c1419911bc12eba3d0beaea819b45052778aea2bf4bf73e3	explanatory-supplement
knowledge/rsi/codex_harness_deep_dive.md	CODEX-RSI	1e85ca099e4265bf89f4016772d299816e231bb3	7c258eedc7ca5ff8f20d862cc5c642b435d10bce863babfa4eaf5b8a4738695d	explanatory-supplement
knowledge/rsi/system_state_and_notation.md	SHARED-NOTATION	not-applicable	3ec1baa7b3cf096eca0cb100f45feb6cba31fe81ab829bb3277ef9cbf66a8f30	explanatory-supplement
knowledge/meta_harness/meta_harness_deep_dive.md	META-HARNESS-REPO	44b9942127847f7421db70d8c7e48407f09a3c70	261a40633be2d0ff4084f1e1caa001a3c3523e5f5c3ddeb9fe04734d0cf9a986	explanatory-supplement
